Sensor ID,Sensor Type,Location,Timestamp,Value,Risk Level
S7,Motion Sensor,Room B1,2025-01-05 06:14:12,10.0,Low
S23,Temperature Sensor,Room A5,2025-01-07 11:15:22,28.9,Low
S30,Temperature Sensor,Room C5,2025-01-04 18:17:10,97.2,High
S7,Fire Alarm,Room C1,2025-01-01 19:32:53,1.0,High
S16,Motion Sensor,Room B4,2025-01-05 11:44:37,1.0,Low
S31,Temperature Sensor,Room A5,2025-01-03 15:12:23,42.3,Low
S29,Motion Sensor,Room C4,2025-01-06 03:44:24,5.0,Low
S3,Motion Sensor,Room C3,2025-01-05 10:51:39,2.0,Low
S40,Motion Sensor,Room B3,2025-01-02 16:54:50,6.0,Low
S33,Temperature Sensor,Room A5,2025-01-02 08:30:05,59.0,High
S11,Temperature Sensor,Room C3,2025-01-07 03:18:34,95.1,High
S47,Fire Alarm,Room A2,2025-01-02 11:14:31,2.0,High
S37,Motion Sensor,Room C4,2025-01-06 17:11:22,,Low
S41,Motion Sensor,Room B1,2025-01-05 18:32:37,,Low
S23,Motion Sensor,Room C1,2025-01-04 10:53:07,10.0,Low
S46,Temperature Sensor,Room C5,2025-01-04 20:26:07,,Low
S35,Fire Alarm,Room B4,2025-01-05 16:39:06,0.0,Low
S45,Motion Sensor,Room C2,2025-01-04 03:35:13,9.0,Low
S38,Temperature Sensor,Room C3,2025-01-01 06:57:33,63.5,High
S23,Temperature Sensor,Room B3,2025-01-06 18:34:22,82.0,High
S33,Temperature Sensor,Room B3,2025-01-05 15:43:12,50.2,High
S47,Temperature Sensor,Room A3,2025-01-06 22:33:11,,High
S34,Fire Alarm,Room B5,2025-01-07 06:24:34,1.0,High
S9,Fire Alarm,Room C1,2025-01-02 01:27:45,0.0,Low
S42,Fire Alarm,Room B3,2025-01-05 19:33:50,,High
S48,Fire Alarm,Room A3,2025-01-03 14:30:10,1.0,High
S6,Motion Sensor,Room A4,2025-01-04 00:57:05,8.0,Low
S7,Temperature Sensor,Room C1,2025-01-07 15:15:49,,High
S5,Temperature Sensor,Room C5,2025-01-01 08:17:48,25.6,Low
S5,Temperature Sensor,Room C1,2025-01-04 20:02:03,95.2,High
S48,Fire Alarm,Room C1,2025-01-06 14:09:30,1.0,High
S37,Fire Alarm,Room C1,2025-01-03 19:39:30,0.0,Low
S24,Motion Sensor,Room B4,2025-01-05 06:57:13,10.0,Low
S32,Fire Alarm,Room A2,2025-01-02 19:32:03,0.0,Low
S35,Motion Sensor,Room C2,2025-01-03 14:54:34,3.0,Low
S1,Fire Alarm,Room B5,2025-01-07 14:30:59,1.0,High
S12,Temperature Sensor,Room C4,2025-01-01 21:16:39,48.1,Low
S29,Temperature Sensor,Room C2,2025-01-07 16:20:29,150.0,High
S1,Temperature Sensor,Room C4,2025-01-07 22:25:57,62.8,High
S43,Motion Sensor,Room B5,2025-01-05 19:24:29,,Low
S18,Temperature Sensor,Room C5,2025-01-06 18:21:22,99.1,High
S48,Temperature Sensor,Room A4,2025-01-06 14:48:04,150.0,Low
S3,Fire Alarm,Room C4,2025-01-04 06:08:45,0.0,Low
S9,Temperature Sensor,Room A4,2025-01-01 11:09:59,34.9,Low
S2,Motion Sensor,Room B5,2025-01-03 20:32:09,5.0,Low
S21,Motion Sensor,Room B1,2025-01-06 16:53:51,5.0,Low
S15,Fire Alarm,Room A2,2025-01-06 11:44:39,0.0,Low
S24,Motion Sensor,Room C2,2025-01-03 04:58:50,8.0,Low
S7,Fire Alarm,Room B2,2025-01-07 15:49:20,0.0,Low
S28,Fire Alarm,Room A1,2025-01-05 21:26:43,0.0,Low
S27,Fire Alarm,Room C3,2025-01-06 09:03:37,0.0,Low
S26,Motion Sensor,Room A4,2025-01-02 03:29:58,5.0,Low
S48,Motion Sensor,Room A1,2025-01-04 04:24:13,-5.0,Low
S11,Temperature Sensor,Room C3,2025-01-07 20:46:42,68.6,High
S1,Fire Alarm,Room C3,2025-01-05 20:29:32,0.0,Low
S24,Temperature Sensor,Room B1,2025-01-04 04:48:55,,High
S34,Fire Alarm,Room B5,2025-01-03 02:16:38,1.0,High
S11,Motion Sensor,Room C4,2025-01-07 04:27:10,5.0,Low
S11,Motion Sensor,Room B3,2025-01-07 17:44:01,8.0,Low
S9,Temperature Sensor,Room A5,2025-01-06 04:24:49,26.2,Low
S6,Temperature Sensor,Room C4,2025-01-01 21:07:42,83.2,High
S45,Motion Sensor,Room A4,2025-01-05 17:55:57,0.0,Medium
S13,Fire Alarm,Room A2,2025-01-01 11:33:20,0.0,Low
S6,Motion Sensor,Room A2,2025-01-01 06:09:14,4.0,Low
S26,Fire Alarm,Room B1,2025-01-03 12:01:27,0.0,Low
S3,Temperature Sensor,Room C1,2025-01-05 20:48:38,55.6,High
S5,Fire Alarm,Room C3,2025-01-02 12:22:30,1.0,High
S19,Temperature Sensor,Room A2,2025-01-03 03:52:26,63.1,High
S50,Motion Sensor,Room A3,2025-01-04 13:08:16,8.0,Low
S46,Fire Alarm,Room B2,2025-01-07 11:51:02,0.0,Low
S37,Temperature Sensor,Room B1,2025-01-04 09:07:53,80.0,High
S42,Motion Sensor,Room C1,2025-01-03 23:39:49,5.0,Low
S34,Temperature Sensor,Room B4,2025-01-04 02:10:32,87.4,High
S9,Fire Alarm,Room C4,2025-01-04 08:22:13,1.0,High
S20,Fire Alarm,Room B4,2025-01-03 10:49:03,,High
S30,Fire Alarm,Room C1,2025-01-07 21:10:46,0.0,Low
S29,Fire Alarm,Room B3,2025-01-03 07:49:24,1.0,High
S45,Fire Alarm,Room C2,2025-01-03 04:18:01,0.0,Low
S44,Fire Alarm,Room B1,2025-01-03 11:17:36,1.0,High
S3,Motion Sensor,Room B3,2025-01-06 11:28:39,,Low
S45,Temperature Sensor,Room C5,2025-01-07 01:22:45,56.6,High
S2,Fire Alarm,Room B2,2025-01-03 15:24:59,0.0,Low
S11,Motion Sensor,Room C2,2025-01-05 21:29:55,,Low
S28,Motion Sensor,Room C3,2025-01-03 12:49:43,5.0,Low
S12,Fire Alarm,Room B1,2025-01-05 16:11:20,0.0,Low
S22,Temperature Sensor,Room A2,2025-01-04 17:42:04,63.6,High
S3,Motion Sensor,Room A2,2025-01-04 03:17:55,4.0,Low
S2,Temperature Sensor,Room A1,2025-01-06 20:57:55,92.2,High
S19,Temperature Sensor,Room A2,2025-01-03 05:31:49,98.9,High
S36,Motion Sensor,Room B1,2025-01-07 07:54:16,0.0,Medium
S7,Temperature Sensor,Room B3,2025-01-06 09:07:44,92.0,High
S10,Motion Sensor,Room B5,2025-01-05 09:11:03,5.0,Low
S29,Fire Alarm,Room B4,2025-01-03 12:25:19,0.0,Low
S15,Temperature Sensor,Room C3,2025-01-02 00:01:46,59.8,High
S46,Motion Sensor,Room B3,2025-01-02 23:09:53,0.0,Medium
S44,Temperature Sensor,Room A3,2025-01-06 23:12:25,82.3,High
S41,Temperature Sensor,Room C1,2025-01-05 15:09:57,51.2,High
S3,Motion Sensor,Room C3,2025-01-07 11:09:39,3.0,Low
S41,Motion Sensor,Room B5,2025-01-04 14:46:46,1.0,Low
S10,Temperature Sensor,Room C5,2025-01-05 09:53:58,37.5,Low
S23,Fire Alarm,Room C3,2025-01-05 09:18:04,0.0,Low
S16,Temperature Sensor,Room A1,2025-01-02 02:33:57,70.8,High
S35,Fire Alarm,Room A1,2025-01-07 09:00:05,,Low
S28,Motion Sensor,Room C5,2025-01-02 12:54:06,5.0,Low
S2,Temperature Sensor,Room C4,2025-01-02 20:40:54,75.3,High
S45,Motion Sensor,Room A2,2025-01-03 12:22:12,,Low
S50,Motion Sensor,Room A1,2025-01-05 21:54:38,0.0,Medium
S39,Fire Alarm,Room B1,2025-01-04 21:15:41,1.0,High
S2,Fire Alarm,Room C2,2025-01-06 00:34:02,1.0,High
S45,Fire Alarm,Room A5,2025-01-04 16:56:43,1.0,High
S10,Temperature Sensor,Room B3,2025-01-06 14:12:04,73.0,High
S19,Motion Sensor,Room B5,2025-01-07 06:09:51,0.0,Medium
S33,Temperature Sensor,Room A3,2025-01-06 22:26:43,77.8,High
S43,Motion Sensor,Room C1,2025-01-06 12:40:44,7.0,Low
S30,Temperature Sensor,Room B3,2025-01-06 07:43:50,63.2,High
S19,Motion Sensor,Room B4,2025-01-07 19:27:51,9.0,Low
S50,Temperature Sensor,Room C1,2025-01-03 19:42:03,91.0,High
S1,Temperature Sensor,Room B5,2025-01-06 12:53:54,35.9,Low
S3,Fire Alarm,Room B4,2025-01-02 11:36:26,1.0,High
S44,Fire Alarm,Room B5,2025-01-07 22:34:43,0.0,Low
S17,Motion Sensor,Room A3,2025-01-07 06:32:54,4.0,Low
S34,Fire Alarm,Room B2,2025-01-01 03:24:32,0.0,Low
S35,Motion Sensor,Room B2,2025-01-04 15:42:12,0.0,Medium
S36,Temperature Sensor,Room C1,2025-01-03 01:18:03,99.4,High
S2,Temperature Sensor,Room B2,2025-01-06 14:05:36,81.1,High
S35,Motion Sensor,Room C2,2025-01-01 01:46:27,6.0,Low
S41,Fire Alarm,Room B1,2025-01-05 17:46:49,1.0,High
S14,Motion Sensor,Room A3,2025-01-05 11:37:58,1.0,Low
S49,Motion Sensor,Room A4,2025-01-01 18:20:24,5.0,Low
S9,Temperature Sensor,Room A1,2025-01-06 13:44:10,,Low
S3,Temperature Sensor,Room B1,2025-01-02 08:22:22,78.2,High
S36,Motion Sensor,Room A4,2025-01-06 00:23:40,4.0,Low
S40,Motion Sensor,Room C4,2025-01-03 02:12:47,5.0,Low
S10,Fire Alarm,Room B3,2025-01-02 15:51:06,0.0,Low
S9,Temperature Sensor,Room A3,2025-01-07 05:56:48,89.3,High
S18,Fire Alarm,Room C4,2025-01-02 13:59:10,0.0,Low
S26,Motion Sensor,Room B1,2025-01-06 05:20:44,1.0,Low
S20,Fire Alarm,Room C4,2025-01-06 23:12:14,0.0,Low
S5,Fire Alarm,Room B5,2025-01-03 00:52:22,0.0,Low
S10,Fire Alarm,Room C4,2025-01-04 06:04:20,0.0,Low
S10,Fire Alarm,Room A3,2025-01-03 07:36:37,1.0,High
S34,Motion Sensor,Room A1,2025-01-05 09:45:20,9.0,Low
S33,Motion Sensor,Room B1,2025-01-06 23:00:54,8.0,Low
S18,Motion Sensor,Room A3,2025-01-07 11:40:01,,Low
S35,Motion Sensor,Room C2,2025-01-06 03:53:56,1.0,Low
S21,Fire Alarm,Room B4,2025-01-03 15:30:17,1.0,High
S9,Fire Alarm,Room B5,2025-01-04 19:44:06,,Low
S47,Temperature Sensor,Room C5,2025-01-04 20:20:08,96.8,High
S35,Temperature Sensor,Room C1,2025-01-04 17:53:59,94.2,High
S27,Temperature Sensor,Room A3,2025-01-06 20:11:59,42.5,Low
S27,Fire Alarm,Room A1,2025-01-02 21:28:02,1.0,High
S4,Temperature Sensor,Room A1,2025-01-02 02:14:03,97.5,High
S10,Fire Alarm,Room A5,2025-01-06 22:06:31,1.0,High
S32,Motion Sensor,Room A1,2025-01-05 14:01:02,0.0,Medium
S49,Motion Sensor,Room C3,2025-01-06 12:27:27,7.0,Low
S32,Fire Alarm,Room A1,2025-01-05 10:37:51,1.0,High
S4,Temperature Sensor,Room B4,2025-01-04 13:40:13,,High
S8,Motion Sensor,Room B5,2025-01-01 05:54:08,9.0,Low
S12,Temperature Sensor,Room B1,2025-01-04 03:21:02,36.8,Low
S36,Motion Sensor,Room B5,2025-01-06 17:13:48,9.0,Low
S27,Motion Sensor,Room C5,2025-01-03 14:45:00,3.0,Low
S1,Fire Alarm,Room C2,2025-01-04 11:07:03,,Low
S42,Fire Alarm,Room C2,2025-01-04 07:29:10,1.0,High
S34,Fire Alarm,Room A5,2025-01-06 14:17:47,1.0,High
S35,Temperature Sensor,Room A4,2025-01-01 16:55:23,25.0,Low
S24,Motion Sensor,Room C5,2025-01-02 20:35:46,8.0,Low
S8,Temperature Sensor,Room B3,2025-01-03 12:05:51,43.5,Low
S12,Temperature Sensor,Room A4,2025-01-04 13:53:22,88.2,High
S40,Temperature Sensor,Room C3,2025-01-05 23:16:14,57.0,High
S38,Temperature Sensor,Room B3,2025-01-04 21:26:25,,High
S33,Motion Sensor,Room C3,2025-01-03 09:01:26,10.0,Low
S25,Temperature Sensor,Room A3,2025-01-02 09:21:14,37.5,Low
S11,Motion Sensor,Room C3,2025-01-03 07:32:33,3.0,Low
S1,Motion Sensor,Room C4,2025-01-07 01:09:30,3.0,Low
S20,Temperature Sensor,Room C4,2025-01-07 00:59:28,71.4,High
S9,Motion Sensor,Room B5,2025-01-07 05:38:29,2.0,Low
S32,Motion Sensor,Room C2,2025-01-03 21:21:53,3.0,Low
S41,Temperature Sensor,Room B2,2025-01-01 04:30:18,69.3,High
S15,Motion Sensor,Room B2,2025-01-03 06:06:59,10.0,Low
S48,Temperature Sensor,Room C4,2025-01-04 10:02:43,43.1,Low
S21,Fire Alarm,Room A3,2025-01-01 10:31:34,0.0,Low
S49,Temperature Sensor,Room A4,2025-01-04 12:46:31,75.2,High
S19,Temperature Sensor,Room C1,2025-01-01 01:39:42,63.4,High
S26,Temperature Sensor,Room C3,2025-01-04 12:33:34,78.2,High
S10,Motion Sensor,Room A2,2025-01-04 16:29:54,,Low
S35,Motion Sensor,Room B2,2025-01-05 19:24:28,7.0,Low
S48,Fire Alarm,Room C1,2025-01-07 21:16:01,1.0,High
S9,Motion Sensor,Room A5,2025-01-06 01:38:56,6.0,Low
S31,Fire Alarm,Room B4,2025-01-07 03:13:24,1.0,High
S34,Fire Alarm,Room C3,2025-01-07 01:59:07,,Low
S6,Motion Sensor,Room C1,2025-01-01 11:37:14,4.0,Low
S27,Fire Alarm,Room A5,2025-01-03 12:15:15,0.0,Low
S23,Fire Alarm,Room C4,2025-01-03 19:54:22,0.0,Low
S39,Motion Sensor,Room C4,2025-01-04 05:30:45,10.0,Low
S28,Fire Alarm,Room B4,2025-01-03 16:55:42,1.0,High
S48,Temperature Sensor,Room A5,2025-01-05 10:47:16,150.0,High
S31,Temperature Sensor,Room B5,2025-01-06 20:52:17,21.7,Low
S19,Motion Sensor,Room C1,2025-01-05 01:07:53,9.0,Low
S14,Motion Sensor,Room B4,2025-01-01 01:45:57,7.0,Low
S46,Motion Sensor,Room A4,2025-01-01 02:00:04,0.0,Medium
S12,Temperature Sensor,Room C2,2025-01-05 08:01:12,97.0,High
S49,Fire Alarm,Room C4,2025-01-06 16:14:09,1.0,High
S43,Motion Sensor,Room A4,2025-01-07 08:58:26,,Low
S32,Temperature Sensor,Room B4,2025-01-03 17:03:27,53.1,High
S49,Fire Alarm,Room A1,2025-01-02 07:51:08,1.0,High
S36,Temperature Sensor,Room C1,2025-01-05 00:26:00,98.8,High
S40,Temperature Sensor,Room C3,2025-01-04 17:45:59,70.8,High
S17,Motion Sensor,Room A1,2025-01-02 15:04:22,5.0,Low
S11,Fire Alarm,Room B5,2025-01-02 21:20:37,0.0,Low
S14,Fire Alarm,Room A4,2025-01-03 02:32:40,0.0,Low
S24,Temperature Sensor,Room A5,2025-01-07 13:04:07,73.9,High
S8,Fire Alarm,Room C2,2025-01-05 05:29:05,0.0,Low
S31,Temperature Sensor,Room C1,2025-01-02 21:07:36,150.0,Low
S34,Motion Sensor,Room A5,2025-01-07 21:49:06,5.0,Low
S43,Temperature Sensor,Room B1,2025-01-06 00:51:08,21.2,Low
S38,Temperature Sensor,Room B4,2025-01-01 16:48:21,62.2,High
S33,Motion Sensor,Room A4,2025-01-07 06:05:00,10.0,Low
S1,Temperature Sensor,Room B3,2025-01-03 12:00:05,80.3,High
S2,Temperature Sensor,Room B2,2025-01-06 14:51:55,51.1,High
S28,Fire Alarm,Room C5,2025-01-03 23:45:34,0.0,Low
S42,Fire Alarm,Room A4,2025-01-01 09:25:42,,High
S9,Motion Sensor,Room C1,2025-01-03 15:51:17,3.0,Low
S1,Temperature Sensor,Room C1,2025-01-05 12:29:54,28.8,Low
S35,Motion Sensor,Room C3,2025-01-07 00:17:37,0.0,Medium
S41,Fire Alarm,Room C1,2025-01-01 17:44:39,0.0,Low
S36,Temperature Sensor,Room B1,2025-01-04 12:08:08,53.8,High
S47,Temperature Sensor,Room C5,2025-01-06 14:51:21,47.2,Low
S19,Motion Sensor,Room B4,2025-01-02 21:43:49,8.0,Low
S17,Motion Sensor,Room C4,2025-01-01 20:08:11,10.0,Low
S32,Fire Alarm,Room C1,2025-01-07 08:34:07,,High
S33,Motion Sensor,Room A2,2025-01-02 10:46:53,0.0,Medium
S43,Motion Sensor,Room B5,2025-01-04 09:06:26,8.0,Low
S37,Fire Alarm,Room B4,2025-01-04 12:30:44,0.0,Low
S30,Fire Alarm,Room B1,2025-01-06 12:50:01,1.0,High
S39,Motion Sensor,Room C1,2025-01-03 03:43:09,6.0,Low
S48,Fire Alarm,Room B3,2025-01-05 16:32:38,,High
S30,Fire Alarm,Room B4,2025-01-05 20:10:22,0.0,Low
S29,Fire Alarm,Room A1,2025-01-03 00:32:03,1.0,High
S14,Fire Alarm,Room A4,2025-01-05 10:52:22,1.0,High
S7,Temperature Sensor,Room A1,2025-01-03 10:27:11,32.1,Low
S14,Motion Sensor,Room A4,2025-01-06 16:00:10,3.0,Low
S44,Temperature Sensor,Room A5,2025-01-04 23:17:20,25.8,Low
S39,Temperature Sensor,Room B3,2025-01-02 16:02:46,85.1,High
S3,Fire Alarm,Room C2,2025-01-05 20:47:45,0.0,Low
S46,Motion Sensor,Room B3,2025-01-02 03:17:13,-5.0,Low
S35,Motion Sensor,Room C3,2025-01-03 07:06:12,6.0,Low
S23,Fire Alarm,Room C2,2025-01-05 04:56:15,0.0,Low
S7,Fire Alarm,Room B3,2025-01-04 11:54:10,0.0,Low
S36,Temperature Sensor,Room A5,2025-01-05 13:22:49,58.2,High
S20,Motion Sensor,Room B1,2025-01-07 10:42:36,7.0,Low
S19,Temperature Sensor,Room C5,2025-01-01 03:54:49,65.0,High
S4,Motion Sensor,Room C5,2025-01-02 07:07:11,8.0,Low
S39,Motion Sensor,Room B2,2025-01-04 00:53:24,1.0,Low
S19,Motion Sensor,Room B2,2025-01-05 05:41:19,9.0,Low
S34,Motion Sensor,Room C5,2025-01-04 06:51:18,4.0,Low
S15,Motion Sensor,Room B4,2025-01-05 13:33:55,10.0,Low
S39,Motion Sensor,Room C4,2025-01-01 00:29:16,,Low
S2,Fire Alarm,Room B3,2025-01-06 03:46:32,1.0,High
S30,Fire Alarm,Room C2,2025-01-07 06:33:07,1.0,High
S1,Temperature Sensor,Room C3,2025-01-03 16:21:26,22.0,Low
S24,Temperature Sensor,Room B1,2025-01-01 07:33:42,65.8,High
S37,Temperature Sensor,Room A1,2025-01-01 22:10:21,25.5,Low
S28,Fire Alarm,Room C3,2025-01-06 06:03:32,0.0,Low
S20,Fire Alarm,Room C1,2025-01-03 04:10:36,1.0,High
S48,Motion Sensor,Room A5,2025-01-07 22:28:16,10.0,Low
S34,Temperature Sensor,Room B1,2025-01-02 05:33:36,,High
S33,Motion Sensor,Room C5,2025-01-01 12:49:32,9.0,Low
S47,Motion Sensor,Room A5,2025-01-03 14:38:22,9.0,Low
S44,Fire Alarm,Room A3,2025-01-04 03:20:57,1.0,High
S48,Motion Sensor,Room C4,2025-01-06 10:48:12,10.0,Low
S19,Fire Alarm,Room A2,2025-01-03 07:12:47,0.0,Low
S16,Motion Sensor,Room B3,2025-01-06 17:00:08,2.0,Low
S17,Motion Sensor,Room A1,2025-01-07 10:13:15,-5.0,Low
S13,Motion Sensor,Room B4,2025-01-05 09:26:10,,Medium
S12,Fire Alarm,Room B2,2025-01-04 12:49:18,1.0,High
S4,Fire Alarm,Room A2,2025-01-01 04:14:07,0.0,Low
S50,Fire Alarm,Room C5,2025-01-01 07:47:33,1.0,High
S11,Motion Sensor,Room A4,2025-01-07 15:25:13,6.0,Low
S37,Temperature Sensor,Room A1,2025-01-02 13:53:58,73.4,High
S3,Temperature Sensor,Room C3,2025-01-02 21:27:55,84.0,High
S44,Motion Sensor,Room A3,2025-01-01 02:46:07,8.0,Low
S2,Temperature Sensor,Room C4,2025-01-06 17:33:12,150.0,High
S17,Temperature Sensor,Room B4,2025-01-02 14:31:49,,Low
S49,Motion Sensor,Room B3,2025-01-07 15:28:17,8.0,Low
S46,Motion Sensor,Room C4,2025-01-07 16:42:19,7.0,Low
S24,Fire Alarm,Room B2,2025-01-06 19:05:44,1.0,High
S6,Motion Sensor,Room C3,2025-01-03 06:19:38,0.0,Medium
S31,Fire Alarm,Room A2,2025-01-03 01:39:23,0.0,Low
S41,Fire Alarm,Room B2,2025-01-02 18:12:36,0.0,Low
S9,Fire Alarm,Room A4,2025-01-03 16:54:15,1.0,High
S48,Fire Alarm,Room A4,2025-01-04 07:59:24,0.0,Low
S3,Motion Sensor,Room A1,2025-01-02 20:24:59,1.0,Low
S18,Temperature Sensor,Room A3,2025-01-04 19:41:16,,High
S37,Fire Alarm,Room B5,2025-01-03 12:46:33,1.0,High
S43,Motion Sensor,Room C1,2025-01-05 15:48:36,10.0,Low
S35,Fire Alarm,Room A3,2025-01-04 17:46:08,,High
S11,Motion Sensor,Room A4,2025-01-01 02:34:25,5.0,Low
S17,Fire Alarm,Room B2,2025-01-06 18:07:01,1.0,High
S4,Temperature Sensor,Room C3,2025-01-04 02:07:19,64.9,High
S29,Motion Sensor,Room B1,2025-01-02 22:04:32,4.0,Low
S32,Motion Sensor,Room A4,2025-01-07 13:32:45,0.0,Medium
S14,Motion Sensor,Room C1,2025-01-07 23:06:07,8.0,Low
S50,Fire Alarm,Room A5,2025-01-06 11:22:41,1.0,High
S1,Temperature Sensor,Room C5,2025-01-03 20:57:09,73.4,High
S10,Motion Sensor,Room B3,2025-01-02 01:56:09,2.0,Low
S28,Motion Sensor,Room A1,2025-01-07 07:33:35,8.0,Low
S26,Fire Alarm,Room C5,2025-01-06 10:09:27,0.0,Low
S27,Temperature Sensor,Room B2,2025-01-06 19:39:41,73.7,High
S27,Temperature Sensor,Room B3,2025-01-06 18:46:59,48.2,Low
S38,Fire Alarm,Room A2,2025-01-05 21:50:18,1.0,High
S37,Temperature Sensor,Room B2,2025-01-03 23:02:00,21.3,Low
S1,Fire Alarm,Room A4,2025-01-03 03:14:46,0.0,Low
S28,Temperature Sensor,Room A4,2025-01-02 02:16:25,51.4,High
S9,Temperature Sensor,Room B4,2025-01-03 23:36:26,59.1,High
S4,Motion Sensor,Room C5,2025-01-07 11:18:44,3.0,Low
S33,Motion Sensor,Room A4,2025-01-06 20:22:37,0.0,Medium
S12,Temperature Sensor,Room A3,2025-01-02 05:43:29,94.3,High
S22,Fire Alarm,Room A4,2025-01-07 07:02:26,1.0,High
S7,Fire Alarm,Room B2,2025-01-04 01:10:24,2.0,Low
S48,Fire Alarm,Room C1,2025-01-06 23:48:03,0.0,Low
S12,Temperature Sensor,Room A2,2025-01-01 17:31:55,69.2,High
S22,Fire Alarm,Room C5,2025-01-07 21:10:53,,Low
S35,Fire Alarm,Room C5,2025-01-04 14:18:34,0.0,Low
S31,Motion Sensor,Room A1,2025-01-02 18:34:09,2.0,Low
S25,Motion Sensor,Room B3,2025-01-05 05:43:22,7.0,Low
S6,Fire Alarm,Room A5,2025-01-02 21:51:52,0.0,Low
S4,Fire Alarm,Room A4,2025-01-03 14:24:11,1.0,High
S11,Motion Sensor,Room B3,2025-01-07 08:39:47,6.0,Low
S11,Temperature Sensor,Room B1,2025-01-06 14:19:04,,High
S26,Motion Sensor,Room B4,2025-01-04 21:32:55,9.0,Low
S42,Motion Sensor,Room B1,2025-01-06 14:09:51,8.0,Low
S35,Fire Alarm,Room A4,2025-01-02 08:44:20,1.0,High
S34,Temperature Sensor,Room C3,2025-01-02 07:43:14,55.7,High
S13,Motion Sensor,Room A3,2025-01-03 08:33:02,-5.0,Low
S42,Motion Sensor,Room A3,2025-01-02 18:25:38,5.0,Low
S16,Temperature Sensor,Room A3,2025-01-05 23:58:07,54.9,High
S44,Fire Alarm,Room C4,2025-01-06 01:09:56,0.0,Low
S17,Motion Sensor,Room B4,2025-01-05 20:05:11,10.0,Low
S43,Motion Sensor,Room C4,2025-01-03 21:51:03,10.0,Low
S30,Motion Sensor,Room A4,2025-01-06 18:46:57,2.0,Low
S2,Motion Sensor,Room C3,2025-01-06 07:48:11,3.0,Low
S32,Temperature Sensor,Room B2,2025-01-07 03:26:10,35.2,Low
S18,Motion Sensor,Room C2,2025-01-05 12:30:30,7.0,Low
S40,Temperature Sensor,Room B5,2025-01-02 11:17:41,67.5,High
S44,Fire Alarm,Room B5,2025-01-06 07:37:18,0.0,Low
S32,Motion Sensor,Room C4,2025-01-01 00:23:11,5.0,Low
S19,Fire Alarm,Room C3,2025-01-05 09:42:55,1.0,High
S2,Motion Sensor,Room B4,2025-01-07 10:22:59,,Low
S35,Fire Alarm,Room A4,2025-01-05 00:28:09,1.0,High
S7,Temperature Sensor,Room C2,2025-01-05 20:03:07,55.7,High
S32,Motion Sensor,Room C5,2025-01-05 07:07:13,3.0,Low
S3,Fire Alarm,Room C4,2025-01-07 14:08:08,0.0,Low
S32,Temperature Sensor,Room A4,2025-01-06 20:42:19,47.1,Low
